Percentile,27JanS1,27JanS2,29JanS1,29JanS2,30JanS1,30JanS2,31JanS1,31JanS2,01JanS1,01JanS2,4AprS1,4AprS2,5AprS1,5AprS2,6AprS1,6AprS2,8AprS1,8AprS2,9AprS1,9AprS2
99.9,278,264,264,268,257,255,233,215,224,252,256,262,245,260,261,256,265,271,250,258
99.8,270,255,249,254,242,242,218,197,203,233,240,245,231,249,251,247,246,257,234,241
99.7,265,246,240,246,231,231,206,184,195,217,233,234,223,239,243,232,235,248,222,232
99.6,259,238,232,239,223,221,198,178,185,207,222,227,216,232,238,225,226,240,214,222
99.5,254,233,225,232,216,214,191,171,180,200,214,221,210,227,232,219,220,232,207,215
99.4,250,227,219,227,210,208,186,165,175,195,209,216,204,223,229,213,213,227,202,210
99.3,245,223,215,223,204,202,181,162,173,189,205,212,200,219,224,210,209,221,198,205
99.2,242,217,210,220,200,198,177,158,167,181,203,207,195,216,221,206,205,216,193,201
99.1,239,214,206,215,196,194,173,154,164,176,196,203,191,213,217,202,200,212,190,198
99,236,211,203,212,193,191,170,151,161,172,192,200,187,210,215,200,198,208,186,194
98.5,223,196,190,199,179,178,158,139,150,161,180,188,174,198,203,188,186,194,173,182
98,213,185,180,189,169,167,148,131,141,148,170,179,165,190,194,179,177,183,164,173
97.5,204,177,171,181,159,158,141,124,133,139,162,171,157,183,187,171,170,172,156,166
97,196,170,165,174,152,151,134,118,126,131,156,165,153,177,181,165,165,165,150,160
96.5,190,164,158,168,146,145,128,114,120,125,151,160,146,172,176,160,159,159,145,155
96,184,159,153,163,140,139,123,109,115,120,145,155,142,167,171,156,155,152,140,150
95.5,178,155,148,158,135,132,119,105,110,115,141,151,138,163,166,151,151,146,135,145
95,173,151,144,154,130,129,114,101,106,109,136,146,134,159,163,147,146,142,131,142
94.5,165,143,137,146,123,121,108,94,98,100,130,139,127,152,155,139,139,133,123,135
93.23,,,,,,,,,,,125,134,122,146,150,134,133,126,118,130
93,157,137,130,138,115,113,100,86,91,92,124,132,120,145,149,133,132,124,117,129
92,151,131,124,132,108,108,95,81,85,87,118,126,115,140,142,127,126,118,112,123
91,145,126,119,126,103,102,89,76,79,81,113,119,110,133,136,121,120,112,106,118
90,139,121,114,120,98,97,84,72,74,76,108,115,105,129,132,116,115,107,102,114
